ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,homophobia.5-pAction,homophobia.6-pAction,homophobia.7-pAction,homophobia.8-pAction,homophobia.13-pAction,homophobia.14-pAction,homophobia.15-pAction,homophobia.16-pAction,homophobia.16-agreement,Gender,Age
189,2026-02-18 22:06:02,2026-02-18 22:08:33,150,1,EN-GB,1,,,,,,,,1,12,2,38
190,2026-02-18 22:06:33,2026-02-18 22:08:34,120,1,EN-GB,1,,,10,,,,,,,2,41
191,2026-02-18 22:07:22,2026-02-18 22:08:34,71,1,EN-GB,1,13,,,,,,,,,1,30
192,2026-02-18 22:07:29,2026-02-18 22:08:41,72,1,EN-GB,1,,,,,,,8,,,1,43
193,2026-02-18 22:07:30,2026-02-18 22:08:43,73,1,EN-GB,1,,,,,10,,,,,1,49
194,2026-02-18 22:03:36,2026-02-18 22:08:44,308,1,EN-GB,1,,,,,,,,1,13,1,58
195,2026-02-18 22:05:59,2026-02-18 22:08:45,165,1,EN-GB,1,,,,,,,,1,6,1,39
196,2026-02-18 22:05:50,2026-02-18 22:08:51,180,1,EN-GB,1,,,12,,,,,,,2,54
197,2026-02-18 22:06:26,2026-02-18 22:08:56,149,1,EN-GB,1,,,,,,,9,,,1,40
198,2026-02-18 22:06:32,2026-02-18 22:09:06,154,1,EN-GB,1,10,,,,,,,,,2,44
199,2026-02-18 22:07:35,2026-02-18 22:09:07,91,1,EN-GB,1,,,,,,,,1,13,1,31
200,2026-02-18 22:07:08,2026-02-18 22:09:09,120,1,EN-GB,1,,,,,,1,,,,2,40
201,2026-02-18 22:07:57,2026-02-18 22:09:11,73,1,EN-GB,1,,,,,,,10,,,2,45
202,2026-02-18 22:08:04,2026-02-18 22:09:11,67,1,EN-GB,1,,1,,,,,,,,2,48
203,2026-02-18 22:07:55,2026-02-18 22:09:15,79,1,EN-GB,1,,1,,,,,,,,1,30
204,2026-02-18 22:07:59,2026-02-18 22:09:15,76,1,EN-GB,1,,,,,10,,,,,2,34
205,2026-02-18 22:07:43,2026-02-18 22:09:22,98,1,EN-GB,1,,,,,,,,1,13,1,44
206,2026-02-18 22:08:14,2026-02-18 22:09:22,67,1,EN-GB,1,,,,,,1,,,,1,41
207,2026-02-18 22:08:00,2026-02-18 22:09:28,87,1,EN-GB,1,,,,,,1,,,,2,31
208,2026-02-18 22:05:38,2026-02-18 22:09:30,231,1,EN-GB,1,,,,,11,,,,,2,26
209,2026-02-18 22:08:29,2026-02-18 22:09:35,65,1,EN-GB,1,,,,,,,7,,,1,41
210,2026-02-18 22:08:03,2026-02-18 22:09:35,92,1,EN-GB,1,,,,,13,,,,,1,77
211,2026-02-18 22:08:19,2026-02-18 22:09:38,78,1,EN-GB,1,10,,,,,,,,,1,39
212,2026-02-18 22:06:40,2026-02-18 22:09:39,179,1,EN-GB,1,,,,1,,,,,,1,52
213,2026-02-18 22:06:34,2026-02-18 22:09:38,184,1,EN-GB,1,,,7,,,,,,,2,69
214,2026-02-18 22:08:01,2026-02-18 22:09:39,98,1,EN-GB,1,,13,,,,,,,,1,54
215,2026-02-18 22:07:47,2026-02-18 22:09:43,116,1,EN-GB,1,13,,,,,,,,,1,30
216,2026-02-18 22:08:34,2026-02-18 22:09:46,72,1,EN-GB,1,7,,,,,,,,,3,27
217,2026-02-18 22:08:32,2026-02-18 22:09:47,74,1,EN-GB,1,,,,,,,7,,,2,26
218,2026-02-18 22:07:12,2026-02-18 22:09:50,158,1,EN-GB,1,,,,1,,,,,,1,22
219,2026-02-18 22:08:26,2026-02-18 22:10:03,96,1,EN-GB,1,,,,1,,,,,,1,44
220,2026-02-18 22:08:58,2026-02-18 22:10:04,66,1,EN-GB,1,,,,,,1,,,,1,55
221,2026-02-18 22:07:47,2026-02-18 22:10:10,143,1,EN-GB,1,,,,,,,,1,13,1,51
222,2026-02-18 22:05:33,2026-02-18 22:10:12,279,1,EN-GB,1,,,,1,,,,,,2,60
223,2026-02-18 22:09:41,2026-02-18 22:10:21,39,1,EN-GB,1,,,,,13,,,,,2,30
224,2026-02-18 22:08:20,2026-02-18 22:10:24,124,1,EN-GB,1,,,11,,,,,,,1,25
225,2026-02-18 22:08:12,2026-02-18 22:10:28,135,1,EN-GB,1,,,,,,,,10,13,1,42
226,2026-02-18 22:08:12,2026-02-18 22:10:31,138,1,EN-GB,1,,,,,,1,,,,1,35
227,2026-02-18 22:09:06,2026-02-18 22:10:35,89,1,EN-GB,1,,1,,,,,,,,2,40
228,2026-02-18 22:08:06,2026-02-18 22:10:47,160,1,EN-GB,1,,,13,,,,,,,1,60
229,2026-02-18 22:08:30,2026-02-18 22:10:49,139,1,EN-GB,1,,,,,,,9,,,2,29
230,2026-02-18 22:08:25,2026-02-18 22:10:51,146,1,EN-GB,1,,,,,8,,,,,1,56
231,2026-02-18 22:09:05,2026-02-18 22:10:56,110,1,EN-GB,1,,,13,,,,,,,1,31
232,2026-02-18 22:10:11,2026-02-18 22:11:10,58,1,EN-GB,1,,,7,,,,,,,2,36
233,2026-02-18 22:09:09,2026-02-18 22:11:10,120,1,EN-GB,1,,,,1,,,,,,2,63
234,2026-02-18 22:07:57,2026-02-18 22:11:14,196,1,EN-GB,1,,1,,,,,,,,1,19
235,2026-02-18 22:08:45,2026-02-18 22:11:22,157,1,EN-GB,1,,,,,,1,,,,1,41
236,2026-02-18 22:07:59,2026-02-18 22:11:23,203,1,EN-GB,1,,,,,13,,,,,1,52
237,2026-02-18 22:10:24,2026-02-18 22:11:27,63,1,EN-GB,1,,1,,,,,,,,1,28
