ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,racism.12-pAction,12.2,racism.24-pAction,24.2,Gender,Age,Education
250,2026-03-17 14:01:56,2026-03-17 14:04:23,147,1,EN-GB,1,,1,,,1,27,4
251,2026-03-17 14:02:20,2026-03-17 14:04:29,128,1,EN-GB,1,1,,,,2,69,4
252,2026-03-17 14:03:16,2026-03-17 14:04:39,83,1,EN-GB,1,,1,,,2,46,3
253,2026-03-17 14:02:33,2026-03-17 14:08:10,337,1,EN-GB,1,,1,,,1,48,2
254,2026-03-17 14:09:38,2026-03-17 14:11:36,117,1,EN-GB,1,,1,,,1,41,4
255,2026-03-17 14:09:48,2026-03-17 14:12:39,170,1,EN-GB,1,,,5,,2,31,4
256,2026-03-17 14:10:49,2026-03-17 14:12:44,115,1,EN-GB,1,,,,1,1,26,4
257,2026-03-17 14:14:21,2026-03-17 14:15:49,87,1,EN-GB,1,,,1,,2,40,4
258,2026-03-17 14:16:07,2026-03-17 14:17:48,101,1,EN-GB,1,,2,,,2,29,4
259,2026-03-17 14:18:28,2026-03-17 14:20:40,131,1,EN-GB,1,1,,,,2,50,5
260,2026-03-17 14:20:50,2026-03-17 14:22:40,109,1,EN-GB,1,2,,,,2,74,3
261,2026-03-17 14:21:36,2026-03-17 14:23:06,89,1,EN-GB,1,,1,,,2,39,5
262,2026-03-17 14:26:08,2026-03-17 14:30:59,290,1,EN-GB,1,,1,,,2,21,4
263,2026-03-17 14:29:16,2026-03-17 14:31:14,117,1,EN-GB,1,1,,,,2,19,2
264,2026-03-17 14:28:04,2026-03-17 14:33:23,319,1,EN-GB,1,,,1,,1,45,2
265,2026-03-17 14:34:20,2026-03-17 14:37:10,169,1,EN-GB,1,1,,,,1,68,2
266,2026-03-17 14:35:38,2026-03-17 14:38:46,187,1,EN-GB,1,,,3,,2,62,5
267,2026-03-17 14:38:14,2026-03-17 14:42:19,245,1,EN-GB,1,,,3,,1,39,4
